semantic_object,object_vlm_type,material_id,canonical_name,candidate_vlm_type_norm,material_type_norm,absorption_level,alpha_mid,alpha_high,source_group,source_material_name,a125,a250,a500,a1000,a2000,a4000,a8000,sampling_policy
door,door_panel,ptb_1287_deckenverkleidung_aus_5_mm_dickem_sperrholzde,"ESO MODULATOR 22/3 — Deckenverkleidung aus 5 mm dickem Sperrholzdeck, rückseitig versteift mit Stegen aus 2,5 mm dicken, 16 mm hohen Holzstreifen. Dahinter: 40 mm Mineralwolle 0,6 kg/m^2",hard_furniture,wood_panel,semi_reflective,0.1067,0.105,ptb,"PTB No. 1287: Deckenverkleidung aus 5 mm dickem Sperrholzdeck, rückseitig versteift mit Stegen aus 2,5 mm dicken, 16 mm hohen Holzstreifen. Dahinter: 40 mm Mineralwolle 0,6 kg/m^2",0.58,0.27,0.13,0.1,0.09,0.12,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0193_glass_ordinary_window_glass,"Glass, ordinary window glass",window_glass,glass_reflective,semi_reflective,0.1233,0.055,ptb,"PTB No. 193: Glass, ordinary window glass",0.35,0.25,0.18,0.12,0.07,0.04,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0195_glass_ordinary_window_glass,Glass: Ordinary window glass,window_glass,glass_reflective,semi_reflective,0.1233,0.055,ptb,PTB No. 195: Glass: Ordinary window glass,0.35,0.25,0.18,0.12,0.07,0.04,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_2561_plattenabsorber_holzwolleplatten_unpor_se_hol,"Mikropor ST (1981) — Plattenabsorber, Holzwolleplatten, unporöse Holzspan-Deckschicht, Mikroporfolie mit Lackschicht",hard_furniture,wood_panel,semi_reflective,0.1167,0.13,ptb,"PTB No. 2561: Plattenabsorber, Holzwolleplatten, unporöse Holzspan-Deckschicht, Mikroporfolie mit Lackschicht",0.28,0.22,0.14,0.09,0.12,0.14,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0447_plywood_panel_3_8_in,"Plywood panel, 3/8-in",hard_furniture,wood_panel,semi_reflective,0.12,0.105,ptb,"PTB No. 447: Plywood panel, 3/8-in",0.28,0.22,0.17,0.09,0.1,0.11,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0354_plywood_paneling_1_cm_thick,"Plywood paneling, 1 cm thick",hard_furniture,wood_panel,semi_reflective,0.12,0.105,ptb,"PTB No. 354: Plywood paneling, 1 cm thick",0.28,0.22,0.17,0.09,0.1,0.11,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0361_sperrholzplatten_6_mm_10_cm_hohlraum,"Sperrholzplatten, 6 mm / 10 cm Hohlraum",hard_furniture,wood_panel,semi_reflective,0.1,0.07,ptb,"PTB No. 361: Sperrholzplatten, 6 mm / 10 cm Hohlraum",0.6,0.35,0.15,0.08,0.07,0.07,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0389_sperrholzplatten_6_mm_dick_4_2_kg_m_pr_ffl_ch,"Sperrholzplatten, 6 mm dick, 4,2 kg / m², Prüffläche 3180 x 3180 mm, Lattung 25/50 mm, Wandabstand 100 mm, Luftraum vollständig aufgefüllt mit Mineralfaserplatten, 100 kg / m³, 20 Rayl/cm",hard_furniture,porous_fiber_absorber,semi_reflective,0.1033,0.065,ptb,"PTB No. 389: Sperrholzplatten, 6 mm dick, 4,2 kg / m², Prüffläche 3180 x 3180 mm, Lattung 25/50 mm, Wandabstand 100 mm, Luftraum vollständig aufgefüllt mit Mineralfaserplatten, 100 kg / m³, 20 Rayl/cm",0.59,0.36,0.18,0.08,0.05,0.08,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0449_sylvatone_venables_wood,Sylvatone - Venables (wood),hard_furniture,wood_panel,semi_reflective,0.2,0.29,ptb,PTB No. 449: Sylvatone - Venables (wood),0.17,0.32,0.29,0.16,0.15,0.29,0.43,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,chairs_upholstered_leather,"empty chairs, upholstered with leather cover",hard_furniture,upholstered_absorber,absorptive,0.59,0.5267,pyroom,chairs_upholstered_leather,0.4,0.5,0.58,0.61,0.58,0.5,0.5,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1810_faserabsorber_tr_gerplatte_perforiert_lochl_n,"16/16/12-2 — Faserabsorber, Trägerplatte perforiert, Lochlängsabstand 16 mm, Lochquerabstand 16 mm, Bohrung 12 mm hinten und 2 mm vorn, freier Querschnitt 15 % / 44 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",hard_furniture,wood_panel,absorptive,0.4733,0.145,ptb,"PTB No. 1810: Faserabsorber, Trägerplatte perforiert, Lochlängsabstand 16 mm, Lochquerabstand 16 mm, Bohrung 12 mm hinten und 2 mm vorn, freier Querschnitt 15 % / 44 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",0.6,0.85,0.7,0.51,0.21,0.08,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0403_3_5_4_mm_boards_asbestos_plywood_or_hard_fibr,"3.5-4 mm boards (asbestos, plywood or hard fibreboard), 4.5-5 mm o holes in square pattern with approx. 13% perforation, on frame construction: 25 mm cavity with 25 mm mineral wool",hard_furniture,porous_fiber_absorber,absorptive,0.5667,0.4333,ptb,"PTB No. 403: 3.5-4 mm boards (asbestos, plywood or hard fibreboard), 4.5-5 mm o holes in square pattern with approx. 13% perforation, on frame construction: 25 mm cavity with 25 mm mineral wool",0.08,0.2,0.55,0.65,0.5,0.4,0.4,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0407_50_mm_wood_wool_set_in_mortar,50 mm wood-wool set in mortar,hard_furniture,porous_fiber_absorber,absorptive,0.4833,0.65,ptb,PTB No. 407: 50 mm wood-wool set in mortar,0.08,0.17,0.35,0.45,0.65,0.65,0.65,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1463_zementgebundene_holzwolle_akustikplatte_mit_f,"Akustikplatte F 25 mm — Zementgebundene Holzwolle-Akustikplatte mit feindimensionierten Holzwollefasern, schwerbrennbar B1, Q1, Tr1, diffusionsoffen,",hard_furniture,wood_panel,absorptive,0.5367,0.78,ptb,"PTB No. 1463: Zementgebundene Holzwolle-Akustikplatte mit feindimensionierten Holzwollefasern, schwerbrennbar B1, Q1, Tr1, diffusionsoffen,",0.13,0.11,0.22,0.54,0.85,0.71,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1464_zementgebundene_holzwolle_akustikplatte_mit_f,"Akustikplatte F 35 mm — Zementgebundene Holzwolle-Akustikplatte mit feindimensionierten Holzwollefasern, schwerbrennbar B1, Q1, Tr1, diffusionsoffen,",hard_furniture,wood_panel,absorptive,0.58,0.78,ptb,"PTB No. 1464: Zementgebundene Holzwolle-Akustikplatte mit feindimensionierten Holzwollefasern, schwerbrennbar B1, Q1, Tr1, diffusionsoffen,",0.06,0.15,0.29,0.77,0.68,0.88,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1466_zementgebundene_holzwolle_akustikplatte_mit_g,"Akustikplatte G 25 mm — Zementgebundene Holzwolle-Akustikplatte mit grobdimensionierten Holzwollefasern, schwerbrennbar B1, Q1, Tr1, diffusionsoffen,",hard_furniture,wood_panel,absorptive,0.5367,0.78,ptb,"PTB No. 1466: Zementgebundene Holzwolle-Akustikplatte mit grobdimensionierten Holzwollefasern, schwerbrennbar B1, Q1, Tr1, diffusionsoffen,",0.13,0.11,0.22,0.54,0.85,0.71,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1467_zementgebundene_holzwolle_akustikplatte_mit_g,"Akustikplatte G 35 mm — Zementgebundene Holzwolle-Akustikplatte mit grobdimensionierten Holzwollefasern, schwerbrennbar B1, Q1, Tr1, diffusionsoffen,",hard_furniture,wood_panel,absorptive,0.58,0.78,ptb,"PTB No. 1467: Zementgebundene Holzwolle-Akustikplatte mit grobdimensionierten Holzwollefasern, schwerbrennbar B1, Q1, Tr1, diffusionsoffen,",0.06,0.15,0.29,0.77,0.68,0.88,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0404_as_above_75_mm_cavity_with_25_mm_mineral_wool,As above: 75 mm cavity with 25 mm mineral wool at front of cavity,hard_furniture,porous_fiber_absorber,absorptive,0.5833,0.4333,ptb,PTB No. 404: As above: 75 mm cavity with 25 mm mineral wool at front of cavity,0.2,0.4,0.65,0.6,0.5,0.4,0.4,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0452_ceilings_50mm_soundboard_pressed_wood_curles,"Ceilings, 50mm ""Soundboard"" (pressed wood curles with air gaps) on 25 mm studs",hard_furniture,wood_panel,absorptive,0.4633,0.6,ptb,"PTB No. 452: Ceilings, 50mm ""Soundboard"" (pressed wood curles with air gaps) on 25 mm studs",0.08,0.15,0.23,0.55,0.61,0.59,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_0367_deckensegel_aus_holz_akustikplatten,Deckensegel aus Holz-Akustikplatten,hard_furniture,wood_panel,absorptive,0.5333,0.525,ptb,PTB No. 367: Deckensegel aus Holz-Akustikplatten,0.2,0.25,0.45,0.6,0.55,0.5,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1053_deweton_akustikplatten_typ_a_helmholtzresonat,"Deweton Akustikplatten Typ A (Helmholtzresonator), Sichtseitige Schlitze 4 mm breit im Abstand von 34 mm. Die Schlitze erweitern sich in der Platte zu einer Röhre von ca. 12 mm Durchmesser, Hinterfütterung mit Mineralfasermatten, jede 2. Röhre geschlitzt",hard_furniture,carpet_floor_absorber,absorptive,0.5233,0.585,ptb,"PTB No. 1053: Deweton Akustikplatten Typ A (Helmholtzresonator), Sichtseitige Schlitze 4 mm breit im Abstand von 34 mm. Die Schlitze erweitern sich in der Platte zu einer Röhre von ca. 12 mm Durchmesser, Hinterfütterung mit Mineralfasermatten, jede 2. Röhre geschlitzt",0.22,0.72,0.53,0.42,0.62,0.55,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1052_deweton_akustikplatten_typ_a_helmholtzresonat,"Deweton Akustikplatten Typ A (Helmholtzresonator), Sichtseitige Schlitze 4 mm breit im Abstand von 34 mm. Die Schlitze erweitern sich in der Platte zu einer Röhre von ca. 12 mm Durchmesser, jede 2. Röhre geschlitzt. Montage: Schrauben oder Nageln durch di",hard_furniture,perforated_panel_absorber,absorptive,0.5,0.615,ptb,"PTB No. 1052: Deweton Akustikplatten Typ A (Helmholtzresonator), Sichtseitige Schlitze 4 mm breit im Abstand von 34 mm. Die Schlitze erweitern sich in der Platte zu einer Röhre von ca. 12 mm Durchmesser, jede 2. Röhre geschlitzt. Montage: Schrauben oder Nageln durch di",0.1,0.3,0.45,0.4,0.65,0.58,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1054_deweton_akustikplatten_typ_d_helmholtzresonat,"Deweton Akustikplatten Typ D (Helmholtzresonator), Sichtseitige Schlitze 4 mm breit im Abstand von 34 mm. Die Schlitze erweitern sich in der Platte zu einer Röhre von ca. 12 mm Durchmesser, zusätzliche Schlitze auf der Plattenrückseite, ohne Hinterfütteru",hard_furniture,perforated_panel_absorber,absorptive,0.5967,0.83,ptb,"PTB No. 1054: Deweton Akustikplatten Typ D (Helmholtzresonator), Sichtseitige Schlitze 4 mm breit im Abstand von 34 mm. Die Schlitze erweitern sich in der Platte zu einer Röhre von ca. 12 mm Durchmesser, zusätzliche Schlitze auf der Plattenrückseite, ohne Hinterfütteru",0.23,0.18,0.23,0.53,1.0,0.63,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1055_deweton_akustikplatten_typ_d_helmholtzresonat,"Deweton Akustikplatten Typ D (Helmholtzresonator), Sichtseitige Schlitze 4 mm breit im Abstand von 34 mm. Die Schlitze erweitern sich in der Platte zu einer Röhre von ca. 12 mm Durchmesser, zusätzliche Schlitze auf der Plattenrückseite, ohne Hinterfütteru",hard_furniture,perforated_panel_absorber,absorptive,0.5967,0.68,ptb,"PTB No. 1055: Deweton Akustikplatten Typ D (Helmholtzresonator), Sichtseitige Schlitze 4 mm breit im Abstand von 34 mm. Die Schlitze erweitern sich in der Platte zu einer Röhre von ca. 12 mm Durchmesser, zusätzliche Schlitze auf der Plattenrückseite, ohne Hinterfütteru",0.28,0.25,0.35,0.58,0.86,0.5,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,chairs_upholstered_cloth,"empty chairs, upholstered with cloth cover",hard_furniture,upholstered_absorber,highly_absorptive,0.8267,0.74,pyroom,chairs_upholstered_cloth,0.44,0.6,0.77,0.89,0.82,0.7,0.7,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,chairs_heavy_upholstered,"heavily upholstered seats, unoccupied",hard_furniture,upholstered_absorber,highly_absorptive,0.83,0.825,pyroom,chairs_heavy_upholstered,0.7,0.76,0.81,0.84,0.84,0.81,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,chairs_medium_upholstered,"medium upholstered concert chairs, empty",hard_furniture,upholstered_absorber,highly_absorptive,0.8333,0.76,pyroom,chairs_medium_upholstered,0.49,0.66,0.8,0.88,0.82,0.7,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1274_faserabsorber_auf_geschlitztem_tr_ger_geschli,"12 / 3 — Faserabsorber auf geschlitztem Träger, geschlitzte Sperrholzplatte mit hinterlegter Mineralfasermatte, Schlitzbreite 3 mm, Stegbreite 12 mm, Schlitzanteil 20 %",hard_furniture,carpet_floor_absorber,highly_absorptive,0.7467,0.745,ptb,"PTB No. 1274: Faserabsorber auf geschlitztem Träger, geschlitzte Sperrholzplatte mit hinterlegter Mineralfasermatte, Schlitzbreite 3 mm, Stegbreite 12 mm, Schlitzanteil 20 %",0.17,0.4,0.63,0.85,0.76,0.73,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1275_faserabsorber_auf_geschlitztem_tr_ger_geschli,"12 / 3 — Faserabsorber auf geschlitztem Träger, geschlitzte Sperrholzplatte mit hinterlegter Mineralfasermatte, Schlitzbreite 3 mm, Stegbreite 12 mm, Schlitzanteil 20 %",hard_furniture,carpet_floor_absorber,highly_absorptive,0.85,0.825,ptb,"PTB No. 1275: Faserabsorber auf geschlitztem Träger, geschlitzte Sperrholzplatte mit hinterlegter Mineralfasermatte, Schlitzbreite 3 mm, Stegbreite 12 mm, Schlitzanteil 20 %",0.27,0.67,0.86,0.87,0.82,0.83,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1806_faserabsorber_tr_gerplatte_gerillt_und_perfor,"12/4 HR — Faserabsorber, Trägerplatte gerillt und perforiert, Steg 12 mm, Nut 4 mm, freier Querschnitt 15 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",hard_furniture,wood_panel,highly_absorptive,0.92,0.71,ptb,"PTB No. 1806: Faserabsorber, Trägerplatte gerillt und perforiert, Steg 12 mm, Nut 4 mm, freier Querschnitt 15 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",0.31,0.8,0.96,1.0,0.78,0.64,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1805_faserabsorber_tr_gerplatte_gerillt_und_perfor,"12/4 M — Faserabsorber, Trägerplatte gerillt und perforiert, Steg 12 mm, Nut 4 mm, freier Querschnitt 15 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",hard_furniture,wood_panel,highly_absorptive,0.91,0.71,ptb,"PTB No. 1805: Faserabsorber, Trägerplatte gerillt und perforiert, Steg 12 mm, Nut 4 mm, freier Querschnitt 15 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",0.32,0.83,0.94,1.0,0.77,0.65,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1804_faserabsorber_tr_gerplatte_gerillt_und_perfor,"13/3 M — Faserabsorber, Trägerplatte gerillt und perforiert, Steg 13 mm, Nut 3 mm, freier Querschnitt 12 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",hard_furniture,wood_panel,highly_absorptive,0.87,0.655,ptb,"PTB No. 1804: Faserabsorber, Trägerplatte gerillt und perforiert, Steg 13 mm, Nut 3 mm, freier Querschnitt 12 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",0.34,0.85,0.9,0.99,0.72,0.59,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1809_faserabsorber_tr_gerplatte_perforiert_lochl_n,"16/16/6 — Faserabsorber, Trägerplatte perforiert, Lochlängsabstand 16 mm, Lochquerabstand 16 mm, Bohrung 6 mm, freier Querschnitt 11 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",hard_furniture,wood_panel,highly_absorptive,0.7367,0.425,ptb,"PTB No. 1809: Faserabsorber, Trägerplatte perforiert, Lochlängsabstand 16 mm, Lochquerabstand 16 mm, Bohrung 6 mm, freier Querschnitt 11 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",0.65,0.92,0.96,0.76,0.49,0.36,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1808_faserabsorber_tr_gerplatte_perforiert_lochl_n,"16/16/8 — Faserabsorber, Trägerplatte perforiert, Lochlängsabstand 16 mm, Lochquerabstand 16 mm, Bohrung 8 mm, freier Querschnitt 19 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",hard_furniture,wood_panel,highly_absorptive,0.8933,0.67,ptb,"PTB No. 1808: Faserabsorber, Trägerplatte perforiert, Lochlängsabstand 16 mm, Lochquerabstand 16 mm, Bohrung 8 mm, freier Querschnitt 19 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",0.62,0.93,1.0,0.9,0.76,0.58,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1276_faserabsorber_auf_geschlitztem_tr_ger_geschli,"22 / 3 — Faserabsorber auf geschlitztem Träger, geschlitzte Sperrholzplatte mit hinterlegter Mineralfasermatte, Schlitzbreite 3 mm, Stegbreite 22 mm, Schlitzanteil 20 %",hard_furniture,carpet_floor_absorber,highly_absorptive,0.72,0.62,ptb,"PTB No. 1276: Faserabsorber auf geschlitztem Träger, geschlitzte Sperrholzplatte mit hinterlegter Mineralfasermatte, Schlitzbreite 3 mm, Stegbreite 22 mm, Schlitzanteil 20 %",0.17,0.4,0.73,0.8,0.63,0.61,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1277_faserabsorber_auf_geschlitztem_tr_ger_geschli,"22 / 3 — Faserabsorber auf geschlitztem Träger, geschlitzte Sperrholzplatte mit hinterlegter Mineralfasermatte, Schlitzbreite 3 mm, Stegbreite 22 mm, Schlitzanteil 20 %",hard_furniture,carpet_floor_absorber,highly_absorptive,0.7833,0.655,ptb,"PTB No. 1277: Faserabsorber auf geschlitztem Träger, geschlitzte Sperrholzplatte mit hinterlegter Mineralfasermatte, Schlitzbreite 3 mm, Stegbreite 22 mm, Schlitzanteil 20 %",0.31,0.71,0.82,0.81,0.72,0.59,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1807_faserabsorber_tr_gerplatte_gerillt_und_perfor,"28/4 M — Faserabsorber, Trägerplatte gerillt und perforiert, Steg 28 mm, Nut 4 mm, freier Querschnitt 7,5 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",hard_furniture,wood_panel,highly_absorptive,0.7167,0.465,ptb,"PTB No. 1807: Faserabsorber, Trägerplatte gerillt und perforiert, Steg 28 mm, Nut 4 mm, freier Querschnitt 7,5 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",0.65,0.93,0.93,0.72,0.5,0.43,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1800_faserabsorber_tr_gerplatte_gerillt_und_perfor,"4/4 M — Faserabsorber, Trägerplatte gerillt und perforiert, Steg 4 mm, Nute 4 mm, freier Querschnitt 25 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",hard_furniture,wood_panel,highly_absorptive,0.9733,0.905,ptb,"PTB No. 1800: Faserabsorber, Trägerplatte gerillt und perforiert, Steg 4 mm, Nute 4 mm, freier Querschnitt 25 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",0.31,0.78,0.95,1.0,0.95,0.86,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
door,door_panel,ptb_1801_faserabsorber_tr_gerplatte_gerillt_und_perfor,"5/3 M — Faserabsorber, Trägerplatte gerillt und perforiert, Steg 5 mm, Nute 3 mm, freier Querschnitt 19 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",hard_furniture,wood_panel,highly_absorptive,0.9867,0.9,ptb,"PTB No. 1801: Faserabsorber, Trägerplatte gerillt und perforiert, Steg 5 mm, Nute 3 mm, freier Querschnitt 19 %, Akustikvlies 60 gr./ m² aufkaschiert, Mineralwollabsorber 30 mm 60 kg / m³ hinterlegt",0.31,0.76,0.98,1.0,0.96,0.84,0.0,Default household door: wood_panel or thin_panel_resonant. Use glass/metal only if VLM explicitly sees glass/metal door.
curtain_blinds,curtain_blind_textile,curtains_cotton_0.33,cotton cloth (0.33 kg/m2) folded to 7/8 area,curtain_blind_textile,fabric_textile_absorber,semi_reflective,0.2633,0.395,pyroom,curtains_cotton_0.33,0.03,0.12,0.15,0.27,0.37,0.42,0.0,Light curtain: semi_reflective/absorptive. Heavy/folded curtain: absorptive/highly_absorptive.
curtain_blinds,curtain_blind_textile,curtain_drapery_10_oz_per_yd2_flat,"Drapery, 10 oz per yd2 flat",curtain_blind_textile,fabric_textile_absorber,semi_reflective,0.1967,0.325,acoustic_supplies,"Drapery (10 oz/yd², flat)",0.04,0.05,0.11,0.18,0.3,0.35,0.0,Light curtain: semi_reflective/absorptive. Heavy/folded curtain: absorptive/highly_absorptive.
curtain_blinds,curtain_blind_textile,curtain_drapery_14_oz_per_yd2_flat,"Drapery, 14 oz per yd2 flat",curtain_blind_textile,fabric_textile_absorber,semi_reflective,0.2233,0.335,acoustic_supplies,"Drapery (14 oz/yd², flat)",0.05,0.07,0.13,0.22,0.32,0.35,0.0,Light curtain: semi_reflective/absorptive. Heavy/folded curtain: absorptive/highly_absorptive.
curtain_blinds,curtain_blind_textile,odeon_curtains_textiles_decoration_feltouch_6mm_plate_02be2d,Feltouch - 6mm Plate - Thickness [cm]: 0.6 - ISO_Class: E,curtain_blind_textile,fabric_textile_absorber,semi_reflective,0.2133,0.6733,odeon,6mm Plate,0.01,0.02,0.06,0.17,0.41,0.7,0.91,Light curtain: semi_reflective/absorptive. Heavy/folded curtain: absorptive/highly_absorptive.
curtain_blinds,curtain_blind_textile,odeon_curtains_textiles_decoration_feltouch_mandarin_e11944,"Feltouch - Mandarin - Thickness [cm]: 0,6 - ISO_Class: E",curtain_blind_textile,fabric_textile_absorber,semi_reflective,0.29,0.5967,odeon,Mandarin,0.01,0.05,0.1,0.26,0.51,0.73,0.55,Light curtain: semi_reflective/absorptive. Heavy/folded curtain: absorptive/highly_absorptive.
curtain_blinds,curtain_blind_textile,curtains_fabric,"curtain fabric, 15 cm from wall",curtain_blind_textile,fabric_textile_absorber,absorptive,0.5667,0.6,pyroom,curtains_fabric,0.1,0.38,0.63,0.52,0.55,0.65,0.0,Light curtain: semi_reflective/absorptive. Heavy/folded curtain: absorptive/highly_absorptive.
curtain_blinds,curtain_blind_textile,curtains_0.2,curtains (0.2 kg/m2) hung 90 mm from wall,curtain_blind_textile,fabric_textile_absorber,absorptive,0.5733,0.72,pyroom,curtains_0.2,0.05,0.06,0.39,0.63,0.7,0.73,0.73,Light curtain: semi_reflective/absorptive. Heavy/folded curtain: absorptive/highly_absorptive.
curtain_blinds,curtain_blind_textile,curtains_glass_mat,curtains of close-woven glass mat hung 50 mm from wall,curtain_blind_textile,fabric_textile_absorber,absorptive,0.35,0.5,pyroom,curtains_glass_mat,0.03,0.03,0.15,0.4,0.5,0.5,0.5,Light curtain: semi_reflective/absorptive. Heavy/folded curtain: absorptive/highly_absorptive.
curtain_blinds,curtain_blind_textile,curtains_densely_woven,densely woven window curtains 90 mm from wall,curtain_blind_textile,fabric_textile_absorber,absorptive,0.57,0.715,pyroom,curtains_densely_woven,0.06,0.1,0.38,0.63,0.7,0.73,0.0,Light curtain: semi_reflective/absorptive. Heavy/folded curtain: absorptive/highly_absorptive.
curtain_blinds,curtain_blind_textile,window_door_studio_curtains,"studio curtains, 22 cm from wall",curtain_blind_textile,fabric_textile_absorber,absorptive,0.5267,0.69,pyroom,studio_curtains,0.36,0.26,0.51,0.45,0.62,0.76,0.0,Light curtain: semi_reflective/absorptive. Heavy/folded curtain: absorptive/highly_absorptive.
